de [mm],g [mm],Nn [],Nc [],Force1.Force_y [kNewton]
11,0.3,19,28,-37.69077646
11,0.4,19,14,-31.56515455
11,0.4,19,16,-32.53724522
11,0.4,19,18,-33.30903029
11,0.4,19,20,-34.04188199
11,0.4,19,22,-34.66207272
11,0.4,19,24,-35.19426146
11,0.4,19,26,-35.69294678
11,0.4,19,28,-36.16268691
11,0.5,19,14,-29.60546862
11,0.5,19,16,-30.67233435
11,0.5,19,18,-31.64376749
11,0.5,19,20,-32.33053455
11,0.5,19,22,-33.01864101
11,0.5,19,24,-33.64061178
11,0.5,19,26,-34.18104115
11,0.5,19,28,-34.65180472
11,0.6,19,14,-27.73343373
11,0.6,19,16,-28.90647418
11,0.6,19,18,-30.07754242
11,0.6,19,20,-30.75994675
11,0.6,19,22,-31.5038
11,0.6,19,24,-32.10918535
11,0.6,19,26,-32.68247888
11,0.6,19,28,-33.23699024
11,0.7,19,14,-25.86046469
11,0.7,19,16,-27.24452472
11,0.7,19,18,-28.33679662
11,0.7,19,20,-29.23275285
11,0.7,19,22,-30.02357576
11,0.7,19,24,-30.63845555
11,0.7,19,26,-31.25293178
11,0.7,19,28,-31.897731
11,0.8,19,14,-23.82468126
11,0.8,19,16,-25.60584535
11,0.8,19,18,-26.81223273
11,0.8,19,20,-27.8010412
11,0.8,19,22,-28.57804466
11,0.8,19,24,-29.25575807
11,0.8,19,26,-29.89810142
11,0.8,19,28,-30.50689758
11,0.9,19,14,-21.78886126
11,0.9,19,16,-23.86938929
11,0.9,19,18,-25.34184505
11,0.9,19,20,-26.41144259
11,0.9,19,22,-27.23624879
11,0.9,19,24,-27.97749123
11,0.9,19,26,-28.619422
11,0.9,19,28,-29.2639147
11,1,19,14,-19.81578561
11,1,19,16,-22.1291938
11,1,19,18,-23.8648184
11,1,19,20,-25.0735589
11,1,19,22,-25.96840436
11,1,19,24,-26.78164508
11,1,19,26,-27.48604846
11,1,19,28,-28.06835829
11,0.3,20,14,-34.08529735
11,0.3,20,16,-34.95946524
11,0.3,20,18,-35.65195151
11,0.3,20,20,-36.28379446
11,0.3,20,22,-36.80902361
11,0.3,20,24,-37.33070466
11,0.3,20,26,-37.77562947
11,0.3,20,28,-38.20166681
11,0.4,20,14,-32.11594649
11,0.4,20,16,-33.08400874
11,0.4,20,18,-33.89020375
11,0.4,20,20,-34.59534389
11,0.4,20,22,-35.22092283
11,0.4,20,24,-35.75502461
11,0.4,20,26,-36.23264461
11,0.4,20,28,-36.68160066
11,0.5,20,14,-30.16603367
11,0.5,20,16,-31.29348355
11,0.5,20,18,-32.14412419
11,0.5,20,20,-32.91503478
11,0.5,20,22,-33.62234606
11,0.5,20,24,-34.21412376
11,0.5,20,26,-34.75685747
11,0.5,20,28,-35.22485868
11,0.6,20,14,-28.34246049
11,0.6,20,16,-29.52795908
11,0.6,20,18,-30.47753089
11,0.6,20,20,-31.39738954
11,0.6,20,22,-32.08485332
11,0.6,20,24,-32.72522244
11,0.6,20,26,-33.30205752
11,0.6,20,28,-33.82509081
11,0.7,20,14,-26.56527777
11,0.7,20,16,-27.88906629
11,0.7,20,18,-28.96713229
11,0.7,20,20,-29.87008057
11,0.7,20,22,-30.73567561
11,0.7,20,24,-31.30107626
11,0.7,20,26,-31.90522048
11,0.7,20,28,-32.48846177
11,0.8,20,14,-24.77408325
11,0.8,20,16,-26.32260326
11,0.8,20,18,-27.477533
11,0.8,20,20,-28.41476384
11,0.8,20,22,-29.37822628
11,0.8,20,24,-29.92783962
11,0.8,20,26,-30.55859641
11,0.8,20,28,-31.18482576
11,0.9,20,14,-22.81218838
11,0.9,20,16,-24.72762854
11,0.9,20,18,-26.01937774
11,0.9,20,20,-27.05747121
11,0.9,20,22,-27.90102885
11,0.9,20,24,-28.64206967
11,0.9,20,26,-29.28608308
11,0.9,20,28,-29.93046649
11,1,20,14,-20.89311095
11,1,20,16,-23.09714561
11,1,20,18,-24.62726695
11,1,20,20,-25.75561412
11,1,20,22,-26.70621782
11,1,20,24,-27.45045154
11,1,20,26,-28.16653439
11,1,20,28,-28.72447187
11,0.3,21,14,-34.5730012
11,0.3,21,16,-35.40875359
11,0.3,21,18,-36.08202959
11,0.3,21,20,-36.74026417
11,0.3,21,22,-37.37659767
11,0.3,21,24,-37.80083915
11,0.3,21,26,-38.26854458
11,0.3,21,28,-38.66660346
11,0.4,21,14,-32.62371433
11,0.4,21,16,-33.61338959
11,0.4,21,18,-34.41301553
11,0.4,21,20,-35.12570817
11,0.4,21,22,-35.71031297
11,0.4,21,24,-36.26868191
